name,org_name,starts_on,ends_on,location,categories,theme,description
Business Etiquette 101,Malone Center for Career Engagement,2012-11-12T23:00:00+00:00,2012-11-13T01:00:00+00:00,Trustee Dining Room,,Unknown,"SPACE IS LIMITED AND YOU MUST HAVE PRE-REGISTERED TO ATTEND. Deadline to register is October 31, 2012 in the Office of Career Services (Trone Student Center). This is a dining and business etiquette seminar for improving your business and social management skills. The cost is $50.00, which includes your meal."
First training session,Furman University Aikido Club,2012-11-12T23:45:00+00:00,2012-11-13T01:00:00+00:00,Dance studio of PAC,,Unknown,"Aikido training - wear comfortable clothes (sweat pants, tshirt) or dogi if you have one"
Kappa Delta Olive Garden Dinner,Fraternity and Sorority Life,2012-10-31T22:00:00+00:00,2012-11-01T00:00:00+00:00,Hartness Pavilion,,Unknown,"Kappa Delta is hosting it's annual Olive Garden Dinner in the Hartness Pavilion. It is 5 dollars for pasta, salad, breadsticks and desserts. Following the dinner at 7 pm, Mrs. Johnson from the Julie Valentine Center will be speaking about their program and how the students of Furman University can help in preventing child abuse. Come out and enjoy some food to support the Julie Valentine Center :)"
Bike to Uganda,Building Tomorrow,2012-10-31T11:00:00+00:00,2012-10-31T23:00:00+00:00,JBD Library Steps!,,Unknown,"Help us bike the distance from Furman to Kampala, Uganda! It's 7,613 miles so we need lots of help! Donate your $7 registration fee for 30 minutes of biking! Enter the raffle (as many times as you want) to win some great prizes!"
Special Events Committee Meeting,Furman University Student Activities Board,2012-10-31T22:00:00+00:00,2012-10-31T23:00:00+00:00,FUSAB Office,,Unknown,"Join ""Spesh"" to hear all about the events they are working on!"
Business Etiquette 101 Registration Deadline,Malone Center for Career Engagement,2012-10-31T12:30:00+00:00,2012-10-31T21:00:00+00:00,Trustee Dining Room,,Unknown,"DEADLINE to register for the Business Etiquette 101 seminar. SPACE IS LIMITED AND YOU MUST HAVE PRE-REGISTERED TO ATTEND. Deadline to register is October 31, 2012 in the Office of Career Services (Trone Student Center). This is a dining and business etiquette seminar for improving your business and social management skills. The cost is $50.00, which includes your meal."
Mere Lunch,Mere Christianity Forum,2012-10-31T15:30:00+00:00,2012-10-31T16:30:00+00:00,P-den,,Unknown,"Mere Lunch is an opportunity to gather with peers to discuss a book that has spiritual and social implications for our lives. (in the past we've also read various articles and passages of Scripture.) This semester we will meet to discuss Shane Claiborne's Irresistible Revolution. Our first meeting will be a chance for folks to meet each other, pick up books if they need one, and see a reading schedule for the semester. If you'd like for us to order you a copy of the book, let Amy know. Or add a comment to the RSVP page. The cost will be $10. We hope you'll consider joining us for these lively lunch discussions!"
Panhellenic Registration Fee increases,Panhellenic Council,2012-10-31T04:00:00+00:00,2012-10-31T04:00:00+00:00,No location specified,,Unknown,
Tuesday Night Meeting,Fellowship of Christian Athletes,2012-10-31T00:30:00+00:00,2012-10-31T03:30:00+00:00,"Burgiss Theater, Upstairs in Trone University Center",,Unknown,"Come hear the Word, Worship, and Fellowship!!"
Haunted Trail Walk,Furman University Student Activities Board,2012-10-31T01:00:00+00:00,2012-10-31T02:00:00+00:00,Furman University Amphitheater,,Unknown,Details to come!
Fellowship of Christian Athletes weekly meeting,Spiritual Life at Furman,2012-10-31T00:30:00+00:00,2012-10-31T01:45:00+00:00,Burgiss Theater,,Unknown,
Society for Free Inquiry weekly meetings,Spiritual Life at Furman,2012-10-30T23:00:00+00:00,2012-10-31T00:15:00+00:00,PDen or Furman Hall 227,,Unknown,
Reformed Christian Fellowship weekly meeting,Spiritual Life at Furman,2012-10-18T23:00:00+00:00,2012-10-19T00:15:00+00:00,Ramsey Parlors; Lakeside Housing,,Unknown,
Obama Policy Review: South Carolina and the President,Furman College Republicans,2012-10-18T23:00:00+00:00,2012-10-19T00:00:00+00:00,McEachern Lecture Hall,,Unknown,"South Carolina Attorney General, Alan Wilson, will be speaking from his experiences as Attorney General on policies of the Obama Administration that are directly affecting South Carolina. In his talk, he will be touching on a variety of issues such as the Obama Administration’s immigration policy and its affect on law enforcement in South Carolina, South Carolina’s recent challenge to the Dodd-Frank act and its affect on the state’s relations with the federal government, and the repercussions of the Affordable Care Act. Attorney General Wilson will be able to provide the unique perspective of an individual who is not only in the middle of, but also leading, many of these legal charges against policies of the administration."
First training session,Furman University Aikido Club,2012-10-18T22:45:00+00:00,2012-10-19T00:00:00+00:00,Dance studio of PAC,,Unknown,"Aikido training - wear comfortable clothes (sweat pants, tshirt) or dogi if you have one"
Weekly meeting,Building Tomorrow,2012-10-18T22:30:00+00:00,2012-10-19T00:00:00+00:00,Furman Hall 110,,Unknown,"Weekly Meeting. May not always be the whole 6:30-8 time period, just a guesstimate."
Pauper Players Open Meeting,Furman University Pauper Players,2012-10-18T22:30:00+00:00,2012-10-18T23:30:00+00:00,Harper Hall,,Unknown,Pauper Players Council will be holding an open meeting on THURSDAY! We will be discussing: Spring Awakening RENT Director Applications Council Member Applications Hope to see you there!
ACS October Meeting,American Chemical Society,2012-10-18T22:00:00+00:00,2012-10-18T23:00:00+00:00,Plyler 231,,Unknown,"Come out to hear about some awesome service opportunities, enjoy some liquid nitrogen ice cream, and the company of your fellow chem majors!"
BBB Meeting,Beta Beta Beta Biological Honor Society,2012-10-18T21:30:00+00:00,2012-10-18T22:15:00+00:00,Patrick Lecture Hall,,Unknown,
Homecoming Float Building!,Furman Baptist Collegiate Ministry,2012-10-18T21:00:00+00:00,2012-10-18T22:00:00+00:00,Furman Mall,,Unknown,"Come and join us on the Furman Mall as we participate in the longtime Furman tradition of float-building! We will cookout (Thursday) and have pizza (Friday) on the mall, so don't worry about dinner. Come and share your construction and decoration skillz as we build a homecoming float!"
"Drive In Double Feature: ""Grease"" & ""Space Jam""",Furman University Student Activities Board,2012-10-17T23:00:00+00:00,2012-10-18T03:00:00+00:00,Blackwell Field,,Unknown,"Join FUSAB for a double feature drive-in movie! We'll be showing ""Grease"" and ""Space Jam""! Did we mention there will be burgers, fries, and milkshakes from Pete's? First come, first served! Blackwell Field at 7pm - drive up or bring a blanket and chair! Don't forget to check out our other homecoming celebrations: Tuesday, 10/16, 7pm: Rollerskating Rink on Blackwell Field Wednesday, 10/17, 1-5pm: Zip Line on Blackwell Field Thursday, 10/18, 7pm: Concert at the Trone Student Center Courtyard Friday, 10/19, 7pm: Homecoming Carnival on the Mall Saturday, 10/20, 8pm: Homecoming Dance at the Hyatt Downtown"
Join Tridelta to watch Modern Family!,Delta Delta Delta,2012-10-18T01:00:00+00:00,2012-10-18T01:30:00+00:00,McEarchern Lecture Hall,,Unknown,Come join the sisters of Tridelta to watch and enjoy Modern Family! Good times to laugh and get to know each other!
Fall Break,Beta Theta Pi,2012-10-05T18:45:00+00:00,2012-10-05T19:45:00+00:00,No location specified,,Unknown,
Emily Raiford's Birthday,Delta Delta Delta,2012-10-05T04:00:00+00:00,2012-10-05T04:00:00+00:00,everywhere!,,Unknown,"HAPPY BIRTHDAY, EMILY!!!"
BCM Thursday Nights!,Furman Baptist Collegiate Ministry,2012-10-04T23:30:00+00:00,2012-10-05T01:15:00+00:00,Burgiss Theater,,Unknown,"Come and join for a time of fellowship around the table, worship, and study of God's Word! It would be our deep joy to worship with you at Furman BCM!"
Orthodox Christian Fellowship weekly meetings,Spiritual Life at Furman,2012-10-05T00:00:00+00:00,2012-10-05T01:00:00+00:00,Humphries Conference Room; Daniel Memorial Chapel,,Unknown,
Kick it With Kappa,Fraternity and Sorority Life,2012-10-05T00:00:00+00:00,2012-10-05T01:00:00+00:00,Hipp Hall Room 202,,Unknown,Come join the sisters of Kappa Kappa Gamma for a fun workout and a chance to get to know Kappas!
Baptist Collegiate Ministry weekly meetings,Spiritual Life at Furman,2012-10-04T23:30:00+00:00,2012-10-05T01:00:00+00:00,Burgiss Theater,,Unknown,
RUF Large Group,Reformed University Fellowship,2012-10-04T23:00:00+00:00,2012-10-05T00:30:00+00:00,Ramsay Parlor,,Unknown,Great time to come worship and fellowship and hear teaching from the Word.
Weekly Meetings,Cooperative Student Fellowship,2012-10-04T23:30:00+00:00,2012-10-05T00:30:00+00:00,Chapel Meeting Room,,Unknown,"Come join CSF every week for devotions, discussion, and...disco dancing! Well...maybe not so much disco. But there will be snacks! Guest speakers! Other fun things!"
Reformed Christian Fellowship weekly meeting,Spiritual Life at Furman,2012-10-04T23:00:00+00:00,2012-10-05T00:15:00+00:00,Ramsey Parlors; Lakeside Housing,,Unknown,
Meeting Number Two,Noah Vieira,2012-10-04T23:00:00+00:00,2012-10-05T00:00:00+00:00,FURMAN HALL 109,,Unknown,Hi guys. The lady from the bone marrow foundation will be coming to speak to us and discuss partnering to sponsor a drive at Furman or something of that nature. I'm hoping that by this time I will have the t-shirts in and ready to hand out/sell. Everyone should come with fundraising ideas for the mission trip and the organization in general. I am also hoping to hear more from ISL about the Spring Break trip!
Tuesday Night Meeting,Fellowship of Christian Athletes,2012-09-26T00:30:00+00:00,2012-09-26T03:30:00+00:00,"Burgiss Theater, Upstairs in Trone University Center",,Unknown,"Come hear the Word, Worship, and Fellowship!!"
Fellowship of Christian Athletes weekly meeting,Spiritual Life at Furman,2012-09-26T00:30:00+00:00,2012-09-26T01:45:00+00:00,Burgiss Theater,,Unknown,
"Jeffrey Brown, Woodrow Wilson Fellow-In-Residence, Public Address: ""The Public Voice in a Divided America""","The Riley Institute of Government, Leadership and Public Policy",2012-09-25T23:00:00+00:00,2012-09-26T01:00:00+00:00,Younts Conference Center,,Unknown,"Woodrow Wilson Fellow in Residence Jeffrey Brown Senior Correspondent, PBS NewsHour September 23 - 26, 2012 On September 25, 2012 at 7 p.m. at Younts Conference Center on Furman's campus, Jeffrey Brown will deliver a public address, ""The Public Voice in a Divided America."" This event is free and open to the public. Jeffrey Brown, In a career spanning more than twenty years at the NewsHour, has served in a variety of roles, both on and off camera. As senior correspondent, he's conducted studio discussions and reported from the field on a wide array of domestic and international stories, and now regularly co-anchors the nightly news program. As arts correspondent, he's profiled and interviewed many of the world's leading writers, musicians and other artists. As senior producer for national affairs for more than a decade, he helped shape the program's coverage of a range of areas, including the economy, healthcare, social policy, culture and the arts. In addition, he is the creator and host of ""Art Beat"", the NewsHour's online arts and culture blog. His work as correspondent and producer has garnered an Emmy, five Cine Golden Eagle Awards, and other honors. Prior to joining The NewsHour, Brown helped produce numerous public television series for Media & Society Seminars, an independent production company headed by Fred W. Friendly. He attended UC Berkeley (B.A., Classics), the UC Berkeley School of Law, and the Columbia University Graduate School of Journalism (M.S.). Brown is married to Paula Crawford, an artist and professor at George Mason University. They have two children."
Society for Free Inquiry weekly meetings,Spiritual Life at Furman,2012-09-25T23:00:00+00:00,2012-09-26T00:15:00+00:00,PDen or Furman Hall 227,,Unknown,
Society for Free Inquiry (SoFI) Meeting,Furman University Secular Student Alliance,2012-09-25T23:00:00+00:00,2012-09-26T00:00:00+00:00,Furman Hall Room 227,,Unknown,"Our first meeting of the term will be Tuesday, August 28th, in the PDen! From then on, we'll alternate between FH 227 and dinner meetings in the PDen."
